rank,prefix,dxcc,name,empty
73,VQ9,33,CHAGOS ISLANDS,
74,KH8,9,AMERICAN SAMOA,
75,JX,118,JAN MAYEN,
76,4U1UN,289,UNITED NATIONS HQ,
77,1A0,246,SOV MILITARY ORDER OF MALTA,
78,TT,410,CHAD,
79,ZL7,34,CHATHAM ISLAND,
80,H4,185,SOLOMON ISLANDS,
81,3D2/R,460,ROTUMA,
82,V6,173,MICRONESIA,
83,A5,306,BHUTAN,
84,3B7,4,AGALEGA & ST BRANDON ISLANDS,
85,S2,305,BANGLADESH,
86,5A,436,LIBYA,
87,5U,187,NIGER,
88,9U,404,BURUNDI,
89,9L,458,SIERRA LEONE,
90,TJ,406,CAMEROON,
91,CE0Y,47,EASTER ISLAND,
92,FW,298,WALLIS & FUTUNA ISLANDS,
93,Z8,521,REPUBLIC OF SOUTH SUDAN,
94,T30,301,WESTERN KIRIBATI,
95,XX9,152,MACAO,
96,E6,188,NIUE,
97,4W,511,TIMOR-LESTE,
98,VP8H,241,SOUTH SHETLAND ISLANDS,
99,XW,143,LAOS,
100,HV,295,VATICAN CITY,
101,A2,402,BOTSWANA,
102,8R,129,GUYANA,
103,XU,312,CAMBODIA,
104,TN,412,REPUBLIC OF THE CONGO,
105,A3,160,TONGA,
106,YJ,158,VANUATU,
107,V7,168,MARSHALL ISLANDS,
108,FH,169,MAYOTTE,
109,TL,408,CENTRAL AFRICAN REPUBLIC,
110,E4,510,PALESTINE,
111,FJ,516,SAINT BARTHELEMY,
112,3XA,107,GUINEA,
113,9Q,414,DEM REP OF THE CONGO,
114,ET,53,ETHIOPIA,
115,D6,411,COMOROS,
116,KG4,105,GUANTANAMO BAY,
117,FP,277,SAINT PIERRE & MIQUELON,
118,J5,109,GUINEA-BISSAU,
119,PY0F,56,FERNANDO DE NORONHA,
120,VP2V,65,BRITISH VIRGIN ISLANDS,
121,4U1ITU,117,ITU HQ,
122,C9,181,MOZAMBIQUE,
123,7P,432,LESOTHO,
124,3C,49,EQUATORIAL GUINEA,
125,5N,450,NIGERIA,
126,TU,428,COTE D'IVOIRE,
127,XT,480,BURKINA FASO,
128,J2,382,DJIBOUTI,
129,JD/O,192,OGASAWARA,
130,YI,333,IRAQ,
131,PJ5,519,SABA & ST EUSTATIUS,
132,5X,286,UGANDA,
133,Z6,522,REPUBLIC OF KOSOVO,
134,ST,466,SUDAN,
135,T8,22,PALAU,
136,EL,434,LIBERIA,
137,ZD8,205,ASCENSION ISLAND,
138,S9,219,SAO TOME & PRINCIPE,
139,VK9N,189,NORFOLK ISLAND,
140,9N,369,NEPAL,
141,Z2,452,ZIMBABWE,
142,HK0S,216,SAN ANDRES ISLAND,
143,P2,163,PAPUA NEW GUINEA,
144,5V7,483,TOGO,
145,V8,345,BRUNEI,
146,PJ7,518,SINT MAARTEN,
147,TZ,442,MALI,
148,VP2M,96,MONTSERRAT,
149,YA,3,AFGHANISTAN,
150,HC8,71,GALAPAGOS ISLANDS,
151,TY,416,BENIN,
152,3DA,468,KINGDOM OF ESWATINI,
153,ZC4,283,UK BASES ON CYPRUS,
154,EP,330,IRAN,
155,8Q,159,MALDIVES,
156,KH0,166,MARIANA ISLANDS,
157,J8,98,SAINT VINCENT,
158,J3,77,GRENADA,
159,OJ0,167,MARKET REEF,
160,FO,175,FRENCH POLYNESIA,
161,E5/S,234,SOUTH COOK ISLANDS,
162,5R,438,MADAGASCAR,
163,3V,474,TUNISIA,
164,5H,470,TANZANIA,
165,9X,454,RWANDA,
166,5W,190,SAMOA,
167,FS,213,SAINT MARTIN,
168,3B9,207,RODRIGUEZ ISLAND,
169,C5,422,THE GAMBIA,
170,YS,74,EL SALVADOR,
171,9J,482,ZAMBIA,
172,YN,86,NICARAGUA,
173,HH,78,HAITI,
174,3A,260,MONACO,
175,VP9,64,BERMUDA,
176,SU,478,EGYPT,
177,S7,379,SEYCHELLES ISLANDS,
178,6W,456,SENEGAL,
179,S0,302,WESTERN SAHARA,
180,AP,372,PAKISTAN,
181,EY,262,TAJIKISTAN,
182,V4,249,SAINT KITTS & NEVIS,
183,VP5,89,TURKS & CAICOS ISLANDS,
184,C6A,60,BAHAMAS,
185,TR,420,GABON,
186,7Q,440,MALAWI,
187,CP,104,BOLIVIA,
188,ZD7,250,SAINT HELENA,
189,V2,94,ANTIGUA & BARBUDA,
190,HR,80,HONDURAS,
191,3W,293,VIET NAM,
192,D2,401,ANGOLA,
193,9G,424,GHANA,
194,JW,259,SVALBARD,
195,9M6,46,EAST MALAYSIA,
196,9V,381,SINGAPORE,
197,FY,63,FRENCH GUIANA,
198,JY,342,JORDAN,
199,4S,315,SRI LANKA,
200,3D2,176,FIJI ISLANDS,
201,CE9,13,ANTARCTICA,
202,6Y,82,JAMAICA,
203,3B8,165,MAURITIUS ISLAND,
204,5T,444,MAURITANIA,
205,VP2E,12,ANGUILLA,
206,KH2,103,GUAM,
207,J7,95,DOMINICA,
208,VP8,141,FALKLAND ISLANDS,
209,TG,76,GUATEMALA,
210,OY,222,FAROE ISLANDS,
211,OX,237,GREENLAND,
212,A9,304,BAHRAIN,
213,ZA,7,ALBANIA,
214,D4,409,CAPE VERDE,
215,EX,135,KYRGYZSTAN,
216,T7,278,SAN MARINO,
217,ZB2,233,GIBRALTAR,
218,C31,203,ANDORRA,
219,FR,453,REUNION ISLAND,
220,V5,464,NAMIBIA,
221,JT,363,MONGOLIA,
222,5Z,430,KENYA,
223,UJ,292,UZBEKISTAN,
224,PZ,140,SURINAME,
225,FK,162,NEW CALEDONIA,
226,HB0,251,LIECHTENSTEIN,
227,OA,136,PERU,
228,EK,14,ARMENIA,
229,9M2,299,WEST MALAYSIA,
230,ZF,69,CAYMAN ISLANDS,
231,FM,84,MARTINIQUE,
232,J6,97,SAINT LUCIA,
233,4J,18,AZERBAIJAN,
234,PJ4,520,BONAIRE,
235,OH0,5,ALAND ISLANDS,
236,A7,376,QATAR,
237,7X,400,ALGERIA,
238,PJ2,517,CURACAO,
239,VR,321,HONG KONG,
240,DU,375,PHILIPPINES,
241,ZP,132,PARAGUAY,
242,BU,386,TAIWAN,
243,P4,91,ARUBA,
244,FG,79,GUADELOUPE,
245,8P,62,BARBADOS,
246,GU,106,GUERNSEY,
247,HP,88,PANAMA,
248,V3,66,BELIZE,
249,4O,514,MONTENEGRO,
250,9Y,90,TRINIDAD & TOBAGO,
251,GD,114,ISLE OF MAN,
252,GJ,122,JERSEY,
253,4L,75,GEORGIA,
254,SV5,45,DODECANESE,
255,TI,308,COSTA RICA,
256,TK,214,CORSICA,
257,OD,354,LEBANON,
258,9H,257,MALTA,
259,CN,446,MOROCCO,
260,KP2,285,US VIRGIN ISLANDS,
261,VU,324,INDIA,
262,HZ,378,SAUDI ARABIA,
263,HS,387,THAILAND,
264,A4,370,OMAN,
265,KH6,110,HAWAII,
266,HC,120,ECUADOR,
267,A6,391,UNITED ARAB EMIRATES,
268,EA9,32,CEUTA & MELILLA,
269,HI,72,DOMINICAN REPUBLIC,
270,HL,137,REPUBLIC OF KOREA,
271,KL7,6,ALASKA,
272,9K,348,KUWAIT,
273,TF,242,ICELAND,
274,SV9,40,CRETE,
275,XE,50,MEXICO,
276,HK,116,COLOMBIA,
277,CX,144,URUGUAY,
278,Z3,502,NORTH MACEDONIA,
279,UA2,126,KALININGRAD,
280,CE,112,CHILE,
281,BY,318,CHINA,
282,ER,179,MOLDOVA,
283,CT3,256,MADEIRA ISLANDS,
284,ZL,170,NEW ZEALAND,
285,CO,70,CUBA,
286,ZS,462,REPUBLIC OF SOUTH AFRICA,
287,5B,215,CYPRUS,
288,YV,148,VENEZUELA,
289,TA,390,TURKEY,
290,CU,149,AZORES,
291,LX,254,LUXEMBOURG,
292,YB,327,INDONESIA,
293,IS0,225,SARDINIA,
294,EA6,21,BALEARIC ISLANDS,
295,KP4,202,PUERTO RICO,
296,UN,130,KAZAKHSTAN,
297,GI,265,NORTHERN IRELAND,
298,4X,336,ISRAEL,
299,LU,100,ARGENTINA,
300,GW,294,WALES,
301,VK,150,AUSTRALIA,
302,YL,145,LATVIA,
303,ES,52,ESTONIA,
304,EI,245,IRELAND,
305,E7,501,BOSNIA-HERZEGOVINA,
306,EU,27,BELARUS,
307,GM,279,SCOTLAND,
308,EA8,29,CANARY ISLANDS,
309,LA,266,NORWAY,
310,CT,272,PORTUGAL,
311,LY,146,LITHUANIA,
312,YT,296,SERBIA,
313,OZ,221,DENMARK,
314,OM,504,SLOVAK REPUBLIC,
315,PY,108,BRAZIL,
316,SV,236,GREECE,
317,YO,275,ROMANIA,
318,HB,287,SWITZERLAND,
319,JA,339,JAPAN,
320,LZ,212,BULGARIA,
321,SM,284,SWEDEN,
322,OE,206,AUSTRIA,
323,UA0,15,ASIATIC RUSSIA,
324,OH,224,FINLAND,
325,9A,497,CROATIA,
326,VE,1,CANADA,
327,OK,503,CZECH REPUBLIC,
328,PA,263,NETHERLANDS,
329,S5,499,SLOVENIA,
330,ON,209,BELGIUM,
331,HA,239,HUNGARY,
332,UR,288,UKRAINE,
333,G,223,ENGLAND,
334,SP,269,POLAND,
335,EA,281,SPAIN,
336,F,227,FRANCE,
337,UA,54,EUROPEAN RUSSIA,
338,DL,230,FEDERAL REPUBLIC OF GERMANY,
339,I,248,ITALY,
340,K,291,UNITED STATES OF AMERICA,

